,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,0.0097,0.1121,,0.0958,1.0169,,,0.0186,0.1825,0.234,0.4067,,0.0404,,0.212,0.1697,,0.0354,,,0.1043,0.3657,0.1921,0.0843,,0.022,,0.0508,,,0.2087,0.117,,,,0.4464,,,0.417,,0.117,0.3962,0.1273,-0.0071,0.0033,,0.2217,,0.0379,0.1882,,0.8784,0.0538,,0.0052,,0.293,,0.307,,0.2149,,,0.12,,,0.2178,0.3199,0.0353,,,,,,,,,0.0854,,0.2419,,,0.0584,0.3704,,0.0602,0.0169,,0.3123,,,,0.1298,0.2751,,0.1813,0.135,0.0589,0.1615,0.4864,,0.146,,,,,,,,0.1593,,,,0.1231,,0.0828,0.1536,,,0.5549,,0.011,,,,0.1144,,,0.0719,0.3254,0.0439,0.0112,0.01,0.011,0.2676,0.2061,,,0.3589,0.1273,0.0049,0.114,0.1147,,0.0086,,0.1272,0.3041,,0.0973,,0.0393,,,0.138,0.1972,0.1623,,,0.2309,,,0.1776,0.1124,0.0526,0.1062,,0.0808,0.073,,,,0.4389,0.0762,0.5488,0.1897,0.3569,,0.1191,,0.1827,,0.1342,0.0449,,0.0335,0.0841,0.0079,0.0885,,,0.0894,0.1429,0.2002,0.0533,-0.0073,0.0966,0.1042,,0.2316,0.2308,0.0526,,0.0498,,,0.2898,0.0931,,0.0562,,,0.1767,,,,0.2684,0.117,,,0.1844,,,,,0.4594,,,,,0.1288,,,,0.2237,,,,0.0919,,,,0.0888,0.5821,,1.1628,,0.2239,0.1179,,,0.3484,0.1567,,,0.5608,,,,,0.0637,0.0717,,,0.0268,0.0058,0.0858,,0.1482,0.1971,,,,,,,,,0.017,,,,0.498,,,0.2368,0.023,,,,,1.4511,,0.1122,0.3865,,0.0142,,,0.2192
2005-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,0.0202,0.2519,,0.1514,1.4224,,,0.0369,0.5805,0.5606,0.8396,,0.0862,,0.5093,0.3215,,0.073,,,0.2214,0.7617,0.4541,0.2671,0.6239,0.0252,,0.1035,,,0.5193,0.2126,,,,0.9438,,,0.8279,,0.2225,0.8259,0.3134,-0.0108,0.0166,,0.4729,,0.0773,0.3043,,1.7194,0.1232,,0.0179,,0.6146,,0.6256,,0.6825,,,0.2748,0.57,,0.465,0.6094,0.1075,,,,,,,,,0.2066,,0.4889,,,0.1905,0.7851,,0.1281,0.0949,,1.0411,,,,0.2571,0.4154,,0.3901,0.239,0.1472,0.2881,0.8857,,0.2849,,,,,,,,0.3676,,,,0.3582,,0.1605,0.3324,,,1.0718,,0.0217,,,,0.2226,,,0.1508,0.7582,0.1092,0.025,0.0204,0.0235,0.458,0.4311,,,0.7539,0.2738,0.0145,0.2759,0.2071,,0.0178,,0.2632,0.6937,,0.2055,,0.0689,,,0.304,0.4298,0.3233,0.0151,,0.4681,,,0.3897,0.2081,0.1102,0.2069,,0.2117,0.2264,,,,0.8725,0.193,1.1491,0.4095,0.7755,,0.2013,,0.3451,,0.2744,0.1559,,0.0496,0.1849,0.0218,0.1805,0.0351,,0.1988,0.294,0.3802,0.1128,0.0021,0.2672,0.2808,,0.4232,0.442,0.1492,,0.1295,,,0.5931,0.2494,,0.1246,,,0.2574,,,,0.6119,0.2698,,0.0157,0.3984,0.5758,,,0.0118,0.8897,,,,,0.2679,,,,0.4117,,,,0.2191,,,,0.1562,1.3218,,1.9598,,0.4265,0.236,,,0.8101,0.3269,,,1.3411,,,,,0.1521,0.15,,,0.0723,0.0231,0.1658,,0.3851,0.3933,,,,,,-0.0007,,,0.0366,,,,1.1337,,,0.5199,0.0789,,,,,2.6719,,0.2713,0.7863,,0.1541,0.0359,,0.3745
2005-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,0.0299,0.3025,,0.1812,2.6683,,,0.0492,1.0144,0.7082,1.2546,,0.135,,0.7574,0.5163,,0.1219,,,0.2962,1.1869,0.6419,0.4723,1.1467,0.1977,,0.1679,,,0.7121,0.3292,,,,1.392,,,1.4791,,0.3298,1.2385,0.4708,0.0125,0.0291,,0.7839,,0.1261,0.4382,,2.876,0.1758,,0.0416,,0.8535,,0.9655,,0.9854,,,0.4425,0.8049,,0.7139,0.8784,0.162,,,,,,,,,0.2959,,0.6886,,,0.2885,1.166,,0.1746,0.0947,,2.3247,,,,0.3901,0.5418,,0.6322,0.3399,0.2114,0.4319,1.3907,,0.4156,,,,,,,,0.6226,,,,0.5759,,0.2789,0.5084,,,1.7179,,0.0321,,,,0.339,,,0.2247,1.1074,0.1806,0.03,0.0312,0.0358,0.7941,0.665,,,1.2011,0.4362,0.0275,0.4123,0.4083,,0.0271,,0.3977,1.1097,,0.3185,,0.1109,,,0.4785,0.5819,0.4852,,,0.7005,,,0.5849,0.3722,0.1663,0.3394,,0.2197,0.3713,,,,1.3066,0.3223,1.6641,0.6884,1.1971,,0.2637,,0.4864,,0.3969,0.2474,,0.2598,0.2854,0.0442,0.2838,0.0577,,0.3112,0.4294,0.5391,0.1793,0.0246,0.4194,0.4212,,0.5351,0.6764,0.2285,,0.1823,,,0.8472,0.3826,,0.1927,,,0.3837,,,,0.9639,0.4213,,,0.5917,,,,0.0207,1.3563,,,,,0.3732,,,,0.6398,,,,0.3639,,,,0.2056,1.9159,,2.4511,,0.6507,0.359,,,1.2918,0.49,,,1.9446,,,,,0.2169,0.2292,,,0.1132,0.0355,0.251,,0.6084,0.6143,,,,,,,,,0.0617,,,,1.7314,,,0.7521,0.1392,,,,,3.6412,,0.4161,1.0271,,0.3341,,,0.649
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
