,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,97.5951,63.1962,,48.7574,37.8279,,,45.8702,39.7174,56.0834,,,,,49.7403,10.4334,,39.9393,,,54.798,30.9918,58.9505,1.9295,,66.2138,,29.7626,,,68.0416,49.3128,,,,30.28,,,58.0863,,42.4018,41.3829,11.5022,67.7757,62.9942,,57.843,,55.4047,36.6292,,40.0646,71.1157,,66.2477,,48.8141,,51.6831,,83.6402,,,51.3622,,,,56.1812,45.7054,,,,,,,,,23.0957,,69.9911,,,44.5532,53.2377,,35.1627,56.29,,51.0418,,,,46.7947,23.3873,,,62.5901,78.3671,37.2441,65.3067,,17.479,,,,,,,,28.0721,,,,26.2869,,56.0408,39.5972,,,39.545,,96.9331,,,,57.1249,,,2.741,59.2775,51.1405,76.9513,96.6755,97.1107,34.3294,54.5699,,,52.6341,79.6291,52.3931,56.7142,72.2933,,96.5183,,49.7903,46.3702,,36.5901,,20.72,,,71.1611,23.3797,48.5509,,,21.8429,,,61.8062,85.0267,63.7608,17.9463,,56.4944,58.5074,,,,51.0277,42.6167,60.1623,50.5679,61.6787,,61.6181,,17.6505,,46.8892,69.4597,,47.3048,32.5602,88.0188,91.365,,,10.7013,39.7874,57.3541,54.7267,55.2341,39.4041,34.9189,,53.2612,59.7125,18.5967,,33.1196,,,41.8644,51.1901,,47.9214,,,29.9947,,,,31.8201,60.4472,,,30.062,,,,,70.828,,,,,32.7455,,,,45.4507,,,,66.6592,,,,72.0045,10.9886,,41.9432,,22.8488,51.2308,,,58.6517,58.3739,,,42.6271,,,,,24.7731,68.6099,,,25.9906,87.6884,72.2549,,45.6014,45.7776,,,,,,,,,74.4766,,,,47.1284,,,64.8564,47.6715,,,,,60.8802,,41.2566,61.787,,34.0377,,,7.2417
2005-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,97.676,63.4662,,46.5961,56.5073,,,44.5715,39.825,58.6515,70.6077,,61.2154,,48.3249,6.7022,,38.5205,,,55.4607,32.171,58.742,15.739,27.9357,70.6527,,29.8156,,,71.2905,48.625,,,,29.0617,,,57.9372,,45.0348,47.5585,11.7315,67.5158,66.4749,,65.76,,55.5074,37.7435,,41.2232,71.1519,,65.9844,,51.4812,,52.3883,,82.0111,,,60.9338,47.433,,12.5582,62.5485,43.061,,,,,,,,,24.2954,,69.335,,,47.9535,56.3507,,35.1612,59.1772,,55.1986,,,,42.914,24.5745,,39.9271,69.6601,78.4276,37.721,66.2432,,13.7134,,,,,,,,35.7338,,,,25.6183,,55.0683,38.7761,,,39.9778,,97.128,,,,56.843,,,3.3919,59.8062,51.5197,77.2011,96.9658,97.3034,50.8429,52.7141,,,54.0058,81.1137,56.9615,57.6021,80.9754,,96.6843,,49.2484,45.5548,,39.1122,,20.6229,,,71.8115,26.6414,47.7149,97.7246,,15.8664,,,64.6774,89.0575,64.8216,20.3912,,52.5207,55.8114,71.0502,,,49.0419,45.7105,61.1662,54.1905,64.4716,,63.364,,20.6832,,47.8096,72.2433,,48.1452,34.3147,88.7855,91.3402,58.0811,,17.9395,44.0201,58.6466,56.2757,58.4249,40.6993,38.744,,51.5804,62.9151,21.2342,,31.398,,,40.7704,50.4702,,49.2514,,,30.2735,,,,34.7804,63.1871,,59.9948,29.361,39.7776,,,77.6426,71.1939,,,,,31.7316,,,,46.9363,,,,67.2306,,,,72.3533,18.8439,,52.465,,26.2392,54.8474,,,61.3881,58.9375,,,48.3908,,,,,21.9127,69.4029,,,27.5616,69.6177,71.7128,,45.9694,42.0975,,,,,,85.5858,,,72.0543,,,,50.3666,,,64.3724,49.9268,,,,,69.7028,,39.318,67.1997,,36.3168,33.3752,,10.2938
2005-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,97.7258,66.9369,,59.1128,69.8844,,,46.0291,34.0881,61.8514,73.894,,62.3356,,45.2236,11.3485,,34.743,,,53.7269,29.889,57.6817,16.2462,25.7263,67.3647,,29.2934,,,69.7017,47.9275,,,,26.9635,,,56.7139,,45.2706,48.0852,10.8578,63.125,67.828,,64.2817,,54.5165,36.6042,,34.3231,74.8087,,59.4622,,52.8783,,51.2412,,79.85,,,60.0714,38.4853,,,63.9722,43.6435,,,,,,,,,26.3502,,68.3314,,,44.6815,54.3506,,41.3118,56.5543,,49.8679,,,,44.4684,22.7382,,37.7989,65.0996,80.2858,38.1314,68.5604,,14.8089,,,,,,,,35.5839,,,,28.7718,,53.3017,35.2794,,,41.6046,,97.1485,,,,56.9372,,,4.0952,50.3641,51.6894,76.9791,96.9197,97.141,47.4961,50.1707,,,53.7186,80.5609,57.8485,56.1973,82.7164,,96.6513,,48.0294,52.0243,,37.3986,,18.029,,,72.0148,22.8812,47.6335,,,13.7862,,,67.0377,88.3853,62.5829,19.9235,,55.3222,53.7681,,,,48.4116,43.7123,62.4086,48.5065,65.9784,,64.0427,,17.3846,,47.9639,71.909,,42.6886,36.1705,88.0403,91.5677,57.6235,,16.8638,45.3373,58.9886,55.6859,62.7707,37.6449,37.4122,,54.8229,61.2906,19.587,,32.6569,,,33.9231,51.4139,,48.8303,,,32.6655,,,,31.0354,63.5448,,,30.7132,,,,76.2953,71.2981,,,,,32.3109,,,,45.917,,,,66.4616,,,,73.0651,10.992,,52.4478,,25.7753,53.8536,,,62.1473,59.8351,,,47.1967,,,,,22.2798,69.8089,,,29.374,74.2765,69.8907,,44.6349,38.3807,,,,,,,,,73.3127,,,,54.655,,,66.0276,51.1523,,,,,73.9534,,38.2377,65.7323,,43.1523,,,6.5657
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
