,HS300
0,000001.SZ
1,000002.SZ
2,000063.SZ
3,000069.SZ
4,000100.SZ
5,000157.SZ
6,000166.SZ
7,000333.SZ
8,000338.SZ
9,000402.SZ
10,000408.SZ
11,000413.SZ
12,000415.SZ
13,000423.SZ
14,000425.SZ
15,000503.SZ
16,000538.SZ
17,000553.SZ
18,000568.SZ
19,000625.SZ
20,000627.SZ
21,000630.SZ
22,000651.SZ
23,000661.SZ
24,000671.SZ
25,000703.SZ
26,000709.SZ
27,000725.SZ
28,000728.SZ
29,000768.SZ
30,000776.SZ
31,000783.SZ
32,000786.SZ
33,000792.SZ
34,000826.SZ
35,000839.SZ
36,000858.SZ
37,000876.SZ
38,000895.SZ
39,000898.SZ
40,000938.SZ
41,000959.SZ
42,000961.SZ
43,000963.SZ
44,000983.SZ
45,001965.SZ
46,001979.SZ
47,002001.SZ
48,002007.SZ
49,002008.SZ
50,002024.SZ
51,002027.SZ
52,002032.SZ
53,002044.SZ
54,002050.SZ
55,002065.SZ
56,002081.SZ
57,002085.SZ
58,002120.SZ
59,002142.SZ
60,002146.SZ
61,002153.SZ
62,002179.SZ
63,002202.SZ
64,002230.SZ
65,002236.SZ
66,002241.SZ
67,002252.SZ
68,002271.SZ
69,002294.SZ
70,002304.SZ
71,002310.SZ
72,002311.SZ
73,002352.SZ
74,002411.SZ
75,002415.SZ
76,002422.SZ
77,002450.SZ
78,002456.SZ
79,002460.SZ
80,002466.SZ
81,002468.SZ
82,002475.SZ
83,002493.SZ
84,002508.SZ
85,002555.SZ
86,002558.SZ
87,002572.SZ
88,002594.SZ
89,002601.SZ
90,002602.SZ
91,002624.SZ
92,002625.SZ
93,002673.SZ
94,002714.SZ
95,002736.SZ
96,002773.SZ
97,002797.SZ
98,002925.SZ
99,300003.SZ
100,300015.SZ
101,300017.SZ
102,300024.SZ
103,300033.SZ
104,300059.SZ
105,300070.SZ
106,300072.SZ
107,300122.SZ
108,300124.SZ
109,300136.SZ
110,300142.SZ
111,300144.SZ
112,300251.SZ
113,300296.SZ
114,300408.SZ
115,300433.SZ
116,600000.SH
117,600004.SH
118,600009.SH
119,600010.SH
120,600011.SH
121,600015.SH
122,600016.SH
123,600018.SH
124,600019.SH
125,600023.SH
126,600025.SH
127,600027.SH
128,600028.SH
129,600029.SH
130,600030.SH
131,600031.SH
132,600036.SH
133,600038.SH
134,600048.SH
135,600050.SH
136,600061.SH
137,600066.SH
138,600068.SH
139,600085.SH
140,600089.SH
141,600100.SH
142,600104.SH
143,600109.SH
144,600111.SH
145,600115.SH
146,600118.SH
147,600153.SH
148,600157.SH
149,600170.SH
150,600176.SH
151,600177.SH
152,600188.SH
153,600196.SH
154,600208.SH
155,600219.SH
156,600221.SH
157,600233.SH
158,600271.SH
159,600276.SH
160,600297.SH
161,600309.SH
162,600332.SH
163,600339.SH
164,600340.SH
165,600346.SH
166,600352.SH
167,600362.SH
168,600369.SH
169,600372.SH
170,600383.SH
171,600390.SH
172,600398.SH
173,600406.SH
174,600415.SH
175,600436.SH
176,600438.SH
177,600482.SH
178,600487.SH
179,600489.SH
180,600498.SH
181,600516.SH
182,600518.SH
183,600519.SH
184,600522.SH
185,600535.SH
186,600547.SH
187,600549.SH
188,600566.SH
189,600570.SH
190,600583.SH
191,600585.SH
192,600588.SH
193,600606.SH
194,600637.SH
195,600660.SH
196,600674.SH
197,600688.SH
198,600690.SH
199,600703.SH
200,600704.SH
201,600705.SH
202,600739.SH
203,600741.SH
204,600760.SH
205,600795.SH
206,600809.SH
207,600816.SH
208,600837.SH
209,600867.SH
210,600886.SH
211,600887.SH
212,600893.SH
213,600900.SH
214,600909.SH
215,600919.SH
216,600926.SH
217,600958.SH
218,600977.SH
219,600998.SH
220,600999.SH
221,601006.SH
222,601009.SH
223,601012.SH
224,601018.SH
225,601021.SH
226,601066.SH
227,601088.SH
228,601108.SH
229,601111.SH
230,601117.SH
231,601138.SH
232,601155.SH
233,601166.SH
234,601169.SH
235,601186.SH
236,601198.SH
237,601211.SH
238,601212.SH
239,601216.SH
240,601225.SH
241,601228.SH
242,601229.SH
243,601238.SH
244,601288.SH
245,601318.SH
246,601328.SH
247,601333.SH
248,601336.SH
249,601360.SH
250,601377.SH
251,601390.SH
252,601398.SH
253,601555.SH
254,601600.SH
255,601601.SH
256,601607.SH
257,601611.SH
258,601618.SH
259,601628.SH
260,601633.SH
261,601668.SH
262,601669.SH
263,601688.SH
264,601727.SH
265,601766.SH
266,601788.SH
267,601800.SH
268,601808.SH
269,601818.SH
270,601828.SH
271,601838.SH
272,601857.SH
273,601877.SH
274,601878.SH
275,601881.SH
276,601888.SH
277,601898.SH
278,601899.SH
279,601901.SH
280,601919.SH
281,601933.SH
282,601939.SH
283,601985.SH
284,601988.SH
285,601989.SH
286,601991.SH
287,601992.SH
288,601997.SH
289,601998.SH
290,603156.SH
291,603160.SH
292,603259.SH
293,603260.SH
294,603288.SH
295,603799.SH
296,603833.SH
297,603858.SH
298,603986.SH
299,603993.SH
