,INDUSTRY_SW
000001.SZ,银行
000002.SZ,房地产
000063.SZ,通信
000069.SZ,房地产
000100.SZ,家用电器
000157.SZ,机械设备
000166.SZ,非银金融
000333.SZ,家用电器
000338.SZ,汽车
000402.SZ,房地产
000408.SZ,化工
000413.SZ,电子
000415.SZ,非银金融
000423.SZ,医药生物
000425.SZ,机械设备
000503.SZ,医药生物
000538.SZ,医药生物
000553.SZ,化工
000568.SZ,食品饮料
000625.SZ,汽车
000627.SZ,非银金融
000630.SZ,有色金属
000651.SZ,家用电器
000661.SZ,医药生物
000671.SZ,房地产
000703.SZ,化工
000709.SZ,钢铁
000725.SZ,电子
000728.SZ,非银金融
000768.SZ,国防军工
000776.SZ,非银金融
000783.SZ,非银金融
000786.SZ,建筑材料
000792.SZ,化工
000826.SZ,公用事业
000839.SZ,综合
000858.SZ,食品饮料
000876.SZ,农林牧渔
000895.SZ,食品饮料
000898.SZ,钢铁
000938.SZ,计算机
000959.SZ,钢铁
000961.SZ,房地产
000963.SZ,医药生物
000983.SZ,采掘
001965.SZ,交通运输
001979.SZ,房地产
002001.SZ,医药生物
002007.SZ,医药生物
002008.SZ,电子
002024.SZ,商业贸易
002027.SZ,传媒
002032.SZ,家用电器
002044.SZ,医药生物
002050.SZ,家用电器
002065.SZ,计算机
002081.SZ,建筑装饰
002085.SZ,汽车
002120.SZ,交通运输
002142.SZ,银行
002146.SZ,房地产
002153.SZ,计算机
002179.SZ,电子
002202.SZ,电气设备
002230.SZ,计算机
002236.SZ,电子
002241.SZ,电子
002252.SZ,医药生物
002271.SZ,建筑材料
002294.SZ,医药生物
002304.SZ,食品饮料
002310.SZ,建筑装饰
002311.SZ,农林牧渔
002352.SZ,交通运输
002411.SZ,医药生物
002415.SZ,电子
002422.SZ,医药生物
002450.SZ,化工
002456.SZ,电子
002460.SZ,有色金属
002466.SZ,有色金属
002468.SZ,交通运输
002475.SZ,电子
002493.SZ,化工
002508.SZ,家用电器
002555.SZ,传媒
002558.SZ,传媒
002572.SZ,轻工制造
002594.SZ,汽车
002601.SZ,化工
002602.SZ,传媒
002624.SZ,传媒
002625.SZ,汽车
002673.SZ,非银金融
002714.SZ,农林牧渔
