,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,,0.1097,,0.3013,5.1529,,,0.352,0.4321,1.6792,,,,,0.4837,0.9888,,0.1699,,,0.11,2.1628,0.5432,0.1605,,0.0227,,1.6936,,,0.4671,1.3929,,,,2.4182,,,1.4422,,0.3555,0.9697,3.9106,,0.5691,,0.4974,,0.605,0.2367,,4.0098,0.1619,,,,1.1283,,1.2612,,0.6447,,,1.0166,,,,2.4359,0.4569,,,,,,,,,0.2696,,1.8406,,,0.3236,4.0487,,29.941,0.0314,,1.1584,,,,1.1804,0.8434,,,1.5215,0.1717,0.6244,2.0022,,0.6513,,,,,,,,0.3487,,,,0.8147,,0.2897,0.7077,,,2.83,,,,,,6.874,,,15.7674,3.2141,0.9229,,,,1.8062,0.8887,,,2.1224,4.9955,,0.3038,2.2225,,,,3.2414,0.8197,,0.4273,,0.5406,,,0.5925,0.3355,2.7594,,,0.6232,,,0.6427,3.5024,0.2687,0.799,,0.1003,0.3445,,,,1.9404,0.5051,1.7387,0.6682,12.1037,,0.2296,,2.3851,,1.0248,0.2449,,0.1138,0.2972,,5.8001,,,1.5272,0.7085,0.9815,0.4483,,1.0052,0.3418,,1.2136,1.6497,0.5472,,0.2833,,,0.9415,0.3404,,10.5708,,,0.118,,,,1.7106,3.2471,,,0.5264,,,,,2.1494,,,,,0.9627,,,,0.8519,,,,0.4923,,,,0.9905,3.8376,,9.2201,,0.2391,4.5384,,,1.9929,21.4176,,,3.3844,,,,,0.9856,3.3928,,,0.1763,,4.2814,,0.6428,1.8816,,,,,,,,,,,,,2.0495,,,0.5274,2.8132,,,,,3.5727,,0.6695,0.8138,,0.0384,,,1.7613
2005-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,,0.2173,,0.4312,4.649,,,0.7008,1.4656,5.0138,3.0635,,0.842,,1.9422,1.6466,,0.3488,,,0.2263,4.4949,1.3889,0.7463,4.5817,0.0286,,3.3619,,,1.2637,2.441,,,,4.7003,,,2.9272,,0.6935,2.0521,9.4314,,1.9002,,0.9598,,1.2558,0.3705,,6.2405,0.3155,,,,2.1738,,2.4004,,2.176,,,2.3122,2.5762,,7.401,4.497,1.3788,,,,,,,,,0.6341,,3.2715,,,0.6856,7.956,,61.3201,0.1881,,4.26,,,,2.2747,1.3692,,3.8057,2.4872,0.452,1.1112,3.0688,,1.2571,,,,,,,,0.8004,,,,2.5873,,0.5259,1.4963,,,4.8691,,,,,,11.1919,,,33.2106,6.1878,2.3378,,,,1.7676,1.9213,,,4.1181,10.4867,,0.6993,3.6503,,,,6.9167,1.9932,,0.9522,,0.7651,,,1.2627,0.7545,4.9987,,,1.6209,,,1.4052,5.5302,0.5907,1.5278,,0.2428,1.2365,,,,3.5556,1.3887,3.7826,1.4591,26.7872,,0.4106,,5.0943,,2.0136,0.7035,,0.1181,0.6426,,9.9248,,,3.3797,1.3734,1.7155,0.8774,,3.2922,0.8818,,2.4413,2.8296,1.5043,,0.7478,,,1.7593,0.898,,22.9608,,,0.175,,,,3.5416,3.8882,,,1.0961,7.4171,,,,4.4926,,,,,1.9994,,,,1.546,,,,1.1368,,,,2.7303,9.5988,,16.2974,,0.4399,7.7481,,,5.2634,43.6974,,,7.6931,,,,,2.5956,5.7692,,,0.5073,,8.1873,,1.6198,3.3696,,,,,,,,,,,,,5.1318,,,1.156,6.3425,,,,,5.9888,,1.6467,1.7828,,0.3751,,,2.6215
2005-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,0.2585,,0.5867,12.0556,,,0.8937,2.9857,6.7894,4.5799,,1.3411,,2.7005,2.637,,0.5402,,,0.2822,7.274,1.9292,1.3774,11.011,0.1991,,5.2553,,,1.6835,3.8442,,,,7.668,,,5.4499,,0.9481,2.969,11.7536,,3.0856,,1.633,,1.9272,0.5283,,11.4705,0.3733,,,,2.7977,,3.7028,,2.8411,,,4.3288,3.5807,,,6.4142,1.8495,,,,,,,,,0.8306,,4.0918,,,0.8678,12.1095,,104.5568,0.3427,,12.2629,,,,3.6996,1.7714,,6.0259,3.9104,0.6835,1.7631,5.7035,,1.8192,,,,,,,,1.5148,,,,3.8889,,0.9515,2.2981,,,7.3268,,,,,,17.9225,,,49.7044,9.3132,4.2259,,,,3.0877,2.9894,,,6.891,16.4686,,1.0185,5.6777,,,,11.169,3.3042,,1.5034,,1.4896,,,1.8875,0.9417,8.252,,,2.4665,,,1.978,10.0609,0.6614,2.5621,,0.2421,2.0502,,,,5.204,2.3149,5.5554,2.2544,41.4757,,0.5324,,7.7427,,3.0682,1.1968,,0.5781,0.9498,,17.3916,,,4.147,1.9474,2.5454,1.4116,,4.5368,1.2887,,3.2179,4.6992,2.3602,,1.1065,,,2.8257,1.3168,,34.1606,,,0.2667,,,,6.0207,6.0053,,,1.7119,,,,,6.7295,,,,,2.8623,,,,2.5009,,,,1.9673,,,,2.9876,13.8534,,20.5592,,0.7189,12.2669,,,7.2591,69.68,,,11.1954,,,,,3.4281,7.1006,,,0.7856,,11.5951,,2.8407,5.5474,,,,,,,,,,,,,8.6089,,,1.6026,10.0425,,,,,6.9504,,2.3848,2.2654,,0.7544,,,5.4081
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
