,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,4.7436,15.8784,,1.4111,-7.4184,,,4.423,-0.2876,7.8566,-6.4307,,-8.164,,11.7812,13.2491,,15.9935,,,11.4034,21.5752,23.2929,8.8094,,11.5418,,6.0663,,,-0.9602,2.2758,,,,19.5506,,,4.1026,,1.4815,26.0963,6.0078,-9.3396,-28.8202,,16.0764,,1.4828,2.5983,,20.1791,3.3261,,-3.4195,,15.6202,,12.2094,,18.7786,,,6.5356,,,6.2535,15.9842,14.9364,,,,,,,,,1.6804,,1.3828,,,23.3022,16.9152,,10.8012,4.7119,,12.8836,,,,3.0219,12.2838,,9.9353,15.8146,11.8891,10.8159,5.7205,,8.6013,,,,,,,,11.0757,,,,12.7996,,-12.005,14.3741,,,11.2301,,14.4621,,,,8.7498,,,16.1501,19.7547,4.8619,-16.8307,10.7052,16.1634,22.0814,17.5588,,,17.3214,-3.3244,2.9253,15.6652,-11.1732,,15.4484,,4.962,13.4607,,1.6883,,24.2376,,,5.8466,13.1808,19.6808,,,13.5193,,,4.1684,5.2451,-18.8026,12.306,,8.0142,-1.366,,,,3.1483,8.0309,11.6097,7.2873,6.3579,,18.3799,,19.3039,,8.8056,0.2927,,7.6629,1.4019,2.2976,3.6405,,,6.1463,0.7568,10.1524,7.3256,-6.3449,14.237,12.8344,,-4.2051,31.9748,1.5086,,1.5063,,,19.536,3.1369,,6.0051,,,20.4524,,,,20.4707,10.6995,,,-10.0487,,,,,4.3482,,,,,2.2856,,,,9.806,,,,21.571,,,,-36.6471,5.9594,,10.7081,,11.7837,12.5718,,,5.3655,8.714,,,6.2235,,,,,33.7065,11.5583,,,-6.3688,1.5965,25.3029,,1.5959,1.0965,,,,,,,,,2.515,,,,11.6867,,,3.8619,13.0816,,,,,25.7837,,6.5939,3.8804,,6.8248,,,6.0789
2005-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,3.3091,20.402,,0.9393,-25.4152,,,4.3718,-0.2855,7.3802,-17.8333,,-7.418,,12.3062,12.2484,,14.2929,,,12.5136,21.4023,18.6838,8.0147,7.7275,11.3226,,8.0362,,,-10.1755,2.3476,,,,21.9978,,,4.506,,1.3718,29.9667,6.6186,-10.0637,-44.6077,,17.7223,,1.6859,2.6969,,19.7047,-7.5382,,-3.9378,,12.0254,,13.4069,,18.7714,,,7.2855,12.6959,,-6.4167,18.4906,16.6734,,,,,,,,,1.8299,,1.1467,,,35.6155,18.5919,,11.488,4.3985,,15.0091,,,,2.4732,12.291,,8.7094,17.4432,15.1661,10.6642,7.4555,,8.0708,,,,,,,,11.4781,,,,13.4452,,-11.8163,13.9508,,,10.6712,,15.2683,,,,7.0369,,,15.9397,20.7565,0.6879,-12.1903,11.8164,16.0227,17.0628,17.7133,,,17.8569,-9.9157,3.2991,13.9401,-32.5416,,16.1257,,4.961,14.5137,,1.4564,,24.2374,,,5.6202,13.6088,20.4858,-46.6143,,14.6238,,,4.4035,-8.5916,-25.7042,9.2509,,7.9497,0.7815,,,,4.9931,8.1291,10.7495,8.0187,7.3363,,19.0692,,20.3847,,9.1086,1.3471,,4.4256,1.2153,-9.4867,1.0319,2.8743,,6.3762,-10.2083,9.4297,7.287,-10.0726,15.2535,13.7611,,-5.2054,34.6867,1.6541,,1.7082,,,22.2503,3.1743,,5.3758,,,20.4785,,,,21.07,5.9971,,3.5716,-8.4745,15.2575,,,2.2785,2.8694,,,,,1.5752,,,,10.3991,,,,19.9212,,,,-46.2942,5.9393,,10.7657,,13.7537,12.513,,,4.3225,7.6451,,,6.8783,,,,,31.7557,10.6202,,,-5.9902,-5.2428,24.2594,,1.9144,-1.1267,,,,,,-239.2762,,,-1.1776,,,,11.4613,,,4.0481,14.0922,,,,,26.1662,,7.3493,4.2461,,6.6535,0.2032,,5.9334
2005-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,4.9683,20.2514,,-1.4035,-82.0435,,,-1.1854,1.3435,6.738,-31.8129,,-8.2073,,11.5212,11.9637,,14.8138,,,13.8686,16.1701,16.979,10.0875,7.9965,19.0632,,7.7,,,-7.9857,1.0214,,,,20.9418,,,4.4222,,1.0925,29.0077,5.9862,-12.09,-44.3047,,16.7439,,1.5539,2.695,,20.9398,-7.4775,,-3.371,,7.3238,,13.616,,18.4087,,,8.7683,11.1586,,-11.3359,16.3277,16.2084,,,,,,,,,1.5425,,0.739,,,33.9302,16.797,,10.8262,4.3777,,17.2985,,,,2.1597,12.5232,,7.7775,18.8898,17.1258,10.2829,6.8472,,10.2785,,,,,,,,14.0479,,,,13.2282,,-12.4937,13.3358,,,12.0288,,15.6498,,,,8.4963,,,15.3217,18.4244,0.7026,-13.0584,12.9613,16.5857,17.609,17.159,,,17.1333,-3.6766,3.9326,12.4654,-45.8008,,16.26,,5.2264,13.8453,,1.5806,,-1.6623,,,5.603,13.4881,20.9196,,,15.2274,,,4.2384,-1.3818,-28.2771,8.6724,,7.4736,1.5061,,,,6.218,8.0333,9.8503,7.3339,7.5871,,19.5244,,17.0339,,9.086,2.8393,,3.7643,1.2199,2.2872,-1.0269,2.8009,,4.9226,-10.7908,10.2243,7.1695,-7.4171,15.0053,13.4734,,-5.8607,34.6658,-0.4691,,1.5564,,,19.8382,3.5615,,5.8981,,,21.3743,,,,21.5551,5.6432,,,-8.3717,,,,2.1519,2.5474,,,,,1.6998,,,,10.16,,,,18.846,,,,-55.6068,5.329,,12.6336,,14.3328,12.3039,,,5.0099,7.3195,,,9.2214,,,,,29.9629,12.2261,,,-5.8951,1.9343,25.5396,,2.1409,-0.1777,,,,,,,,,2.4526,,,,12.5926,,,3.9199,15.1159,,,,,28.346,,7.4087,3.1243,,7.5743,,,7.4234
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
