,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,3.5012,82.9693,,98.2286,67.641,,,-7.5285,5.6378,3.0705,62.2639,,18.5624,,13.2528,18.0203,,7.6436,,,58.8688,27.2408,-13.7793,59.9678,,-73.0659,,-77.9544,,,-38.7596,-23.742,,,,55.544,,,-2.5846,,2.9011,39.629,24.6132,,-61.5176,,122.7169,,-15.4002,20.3179,,51.2426,-24.579,,,,-4.3479,,54.9218,,37.4356,,,74.452,,,-20.2079,22.5734,-17.9989,,,,,,,,,17.5516,,30.0538,,,347.5743,-0.0469,,162.1027,-86.1191,,17.6926,,,,-17.6251,0.7963,,35.668,57.8883,-33.5946,42.8372,31.2574,,9.4176,,,,,,,,10.7736,,,,28.7193,,16.1042,21.755,,,23.2339,,34.4958,,,,,,,16.8315,12.6153,-32.9819,24.1722,28.6121,38.4869,34.2177,68.9514,,,36.8856,57.5977,-65.3739,-12.1811,-43.6427,,19.791,,4.5928,29.0723,,13.1236,,-39.2988,,,14.3309,3.2587,62.0482,,,-2.855,,,22.7853,9.5543,-59.7053,-26.8196,,-15.3861,21.3326,,,,13.1266,3.4798,16.5509,36.7385,22.6397,,136.4144,,46.8964,,13.0337,-36.2258,,-67.6676,6.8694,,21.2473,,,-3.7095,27.6933,23.7365,11.0189,,11.5209,45.4458,,-27.4154,58.8125,-14.7369,,10.202,,,65.5783,73.5391,,27.7407,,,34.049,,,,74.4696,1.2539,,,73.9502,,,,,8.9228,,,,,32.0742,,,,42.7746,,,,15.9075,,,,-47.3264,27.128,,1172.0997,,49.4816,44.2018,,,55.2536,-0.9413,,,54.475,,,,,17.2047,62.2357,,,-4.696,,139.1999,,6.4642,13.2732,,,,,,,,,,,,,34.4139,,,-12.8524,-18.6124,,,,,68.3808,,23.4473,28.0152,,91.0493,,,50.0022
2005-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,2.8529,75.5514,,5.1699,25.0241,,,-0.5476,23.3331,16.5121,65.3898,,4.5724,,-12.4956,-3.0283,,12.8508,,,57.0723,23.1089,-6.0467,39.0175,-0.552,-78.6429,,-76.6385,,,-24.9765,-23.8463,,,,43.6183,,,-7.0671,,-15.2163,33.0515,33.7326,,-49.0014,,124.5965,,-26.3606,12.1795,,62.5448,-14.8134,,-57.8384,,-5.9838,,56.1991,,37.6622,,,81.5952,43.8155,,-17.473,29.22,7.8886,,,,,,,,,28.977,,28.9071,,,274.2734,6.7458,,149.8561,-54.6812,,34.7226,,,,-20.8635,10.1152,,32.04,38.1744,-6.4411,14.6089,22.5785,,6.0085,,,,,,,,8.169,,,,22.9329,,-4.2442,10.2764,,,5.7474,,31.7137,,,,34.2369,,,16.3531,30.9713,-31.0561,125.2955,28.0331,36.3869,72.0506,46.9063,,,35.2035,61.6638,-61.2613,-18.7708,-30.6775,,19.5094,,7.2384,14.2988,,7.2187,,-39.5508,,,18.1096,10.8182,52.0964,,,-5.925,,,17.0303,9.485,-59.3402,-30.9426,,36.2705,95.7982,,,,15.1722,11.5815,19.0737,54.1299,29.9084,,82.0463,,25.2028,,14.2897,-4.2243,,-82.653,-4.5516,-62.2019,20.5448,,,-5.8986,15.1428,16.5062,12.8513,-94.8409,16.2563,54.1917,,-9.6322,53.6414,-9.9136,,25.8584,,,42.4582,70.695,,37.1406,,,28.3108,,,,37.5119,18.7939,,,78.2256,,,,,8.8952,,,,,29.107,,,,35.6266,,,,15.2922,,,,-33.1227,10.3884,,1156.8655,,53.4488,44.6339,,,49.3296,4.9541,,,56.3226,,,,,47.6748,47.5455,,,17.6063,-68.0313,43.8664,,17.7974,3.99,,,,,,,,,-48.5278,,,,30.2913,,,12.2307,5.2821,,,,,64.56,,28.3289,95.613,,12.2524,,,31.0718
2005-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,4.3394,59.8955,,21.2904,38.8733,,,-18.4635,22.9692,1.8191,41.5736,,8.8185,,-7.9749,-6.4443,,14.0808,,,40.4698,19.6179,-6.6517,65.653,0.1692,26.4244,,-68.6785,,,-20.2098,-17.5039,,,,32.8832,,,8.1244,,-13.1301,34.3554,29.0676,-82.6249,-47.3442,,89.9413,,-20.8809,13.5496,,63.1945,-7.1732,,,,-0.174,,54.6994,,29.0667,,,73.3107,35.5418,,-15.5211,20.9359,24.4889,,,,,,,,,23.2708,,12.9381,,,74.6579,3.3339,,121.9611,-61.7283,,41.3932,,,,-17.347,8.5121,,26.6266,34.2937,-2.0483,16.8562,23.827,,8.8802,,,,,,,,27.3584,,,,22.9529,,6.8842,6.5542,,,17.1519,,29.123,,,,,,,13.6059,26.3805,-29.7524,94.7981,27.8356,34.5259,94.0887,36.1084,,,38.1367,64.5475,-41.6727,-11.7709,-8.1951,,23.1764,,7.4797,6.5883,,13.2777,,-30.8093,,,21.7328,8.7951,49.2218,,,-1.6488,,,13.5774,22.1417,-60.436,-15.9344,,-7.1262,82.8741,,,,15.4451,10.0273,10.3295,39.2877,28.9587,,68.5924,,9.3196,,8.6948,0.3445,,-33.6458,-1.4465,,19.5218,,,-17.1566,5.4635,13.0,19.7616,,12.3587,56.6996,,-4.7123,50.4548,-17.8194,,18.9946,,,34.1854,51.0884,,39.0237,,,24.6267,,,,29.3795,22.7179,,,72.6732,,,,,14.1608,,,,,13.7986,,,,29.2705,,,,21.3079,,,,-47.1059,8.1387,,438.7504,,53.6858,35.9732,,,50.3576,9.5378,,,34.3271,,,,,59.4459,42.9568,,,13.9678,,37.8051,,19.8072,0.178,,,,,,,,,,,,,32.2742,,,14.5241,15.1543,,,,,71.8144,,20.549,86.4867,,80.5939,,,24.7164
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
