,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,-2.16806717760419,126.263069358987,,-82.5096652220876,-321.695514319871,,,-27.2363768624854,-259.20397117857,-26.9153568330907,-270.515362055928,,166.782830356844,,39.8038973654411,19.6096405058332,,-39.6507109584208,,,416.993694765902,44.3521974356095,-33.8968311509064,54.81937588378,,-93.8294829783669,,-34.6224150867719,,,-378.662725456598,-67.6920961041426,,,,114.986667995714,,,15.2753252712424,,-7.19845184033904,55.1656651702652,-1.02540278519303,,-2.01754659982463,,67.334544932049,,-23.6562344672529,3.41953784412001,,16.2182757600279,212.884696925863,,,,-49.8289344044075,,59.3283975354731,,19.1042381390468,,,57.071057642197,,,-164.862102785101,18.0463249642697,255.482332609417,,,,,,,,,570.05158771053,,-64.8021085334849,,,311.179148938869,6.08350059377975,,137.559509874854,-104.917643349847,,118.035870864494,,,,211.437573077225,8.63590816772333,,77.8480415513907,83.8212003186037,-13.6646599517345,23.5567942641866,32.2753072742895,,0.254337231287961,,,,,,,,-8.2324453379019,,,,31.4526474822946,,28.3025209799628,43.1209990721568,,,79.8800153814876,,23.6133541175931,,,,,,,13.6957684547797,48.1992711616668,66.85725408444,-27.8671929082691,16.9143941588898,31.7547129191285,20.7615183065217,14.2648988926063,,,21.3627348034068,-201.544401544402,-50.8675474169557,-29.1420809154954,-250.441545791563,,30.1939540257124,,-31.5738269694097,34.7522712180358,,-85.3992308689593,,-64.1793484834356,,,-40.7257507337626,6.74794897895191,101.940752221849,,,32.0254719460909,,,58.9234648030516,-69.1573516014337,-229.021458589747,-78.7460447124787,,253.81379020643,-189.263554732008,,,,74.8549688669229,0.324305361416783,5.50348196748787,43.4477752863866,-15.2629306488791,,111.509758619404,,102.240428666599,,14.1852861632609,-38.3926607313241,,-30.0955502639456,-21.0758928738631,,-57.2842243908423,,,14.8791881242458,-326.659517322479,3.81038948896955,9.88807784472808,,14.61304826343,56.2155457030129,,-276.605242878067,61.0625063941744,-500.64407573356,,-32.8414799493059,,,39.8020581687033,141.248766687052,,-51.4094863739066,,,41.5030765759436,,,,30.9421567982567,-94.9156633960006,,,80.2721013318652,,,,,-28.8166407138931,,,,,168.56239838984,,,,67.5979642120612,,,,20.2317849618753,,,,-118.644199746535,-28.7915494004546,,11.8394493219364,,64.7412255198707,-30.0147833240939,,,17.0489083505251,-11.7029226986659,,,301.828704436912,,,,,24.6846491159229,7.93515130391094,,,-44.0300009276065,,85.3911453538594,,85.6328388962956,-28.2170583955243,,,,,,,,,,,,,12.9522979545496,,,31.6970044452514,-27.2955262748771,,,,,175.34013838495,,10.5244870190698,-3.51693493602366,,-42.4498095822105,,,29.6209293397375
2005-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,-27.2770697484303,143.783912762945,,-73.743370147951,-710.844441087209,,,-273.114307958454,-1617.49060281734,-34.1094547063479,-321.248895428294,,340.209335759064,,25.9371553673518,-2.30887187515752,,0.678405101271027,,,189.692456130919,7.17420246177293,-35.1528406368071,1.1989321303599,56.3444447763528,-70.7065284614631,,39.506065537075,,,-257.312660099807,-47.2889458080922,,,,75.6072329145025,,,10.0271218932757,,-15.424249454952,51.4656725076272,17.5394529471345,,-123.753107420425,,62.9423231510616,,26.6493562827548,19.6954163932757,,9.03482406439342,-196.43520558816,,,,-60.7474632123953,,71.9142858279568,,24.1728276394889,,,117.907571379907,22.181397209791,,-297.420659804982,27.004106318849,937.609578974965,,,,,,,,,118.806902391487,,-46.7428243366753,,,501.342835651558,-2.60230263704848,,77.3922957601857,-103.920255207002,,221.194056371772,,,,6.6558360570096,10.1310756177761,,12.6903561204828,67.9447467074454,43.77943548918,15.0071104403267,49.0924308311654,,-5.30116939764143,,,,,,,,0.444730345262956,,,,37.6397884291687,,15.7378423416999,8.90599634061902,,,23.4441204725661,,26.2658452884017,,,,-26.2065264093311,,,7.24322492435399,109.261633259523,-59.9906961697919,122.569233449239,29.1701907376397,16.0336714879474,51.7094445870376,18.9079991164045,,,15.43751074437,-292.273730684327,11.2141317823624,-22.006499734054,-277.696006118692,,26.4003959896574,,-20.5016817707067,57.1711505914805,,-68.4524670275049,,-54.360344608761,,,-29.2476594567,11.9813760242399,71.7028470612632,,,40.6601622704684,,,19.761577574106,-173.955547510307,-483.548908159409,-66.7923487316334,,128.894821330386,-123.287182989325,,,,190.439150410712,3.69724707308036,-20.9142627626647,41.768954337156,23.4028123747927,,67.6527511096399,,56.5431574106708,,9.69610655737267,-3.1336871905813,,-88.1289485819116,-40.8883987602596,,-84.9784364201155,,,85.8391975792086,-539.02502373056,-16.4943485106496,4.51510490091312,,15.6518715662925,26.8967768211534,,-203.298532852432,52.6127157801289,-94.625444522017,,14.3120258375689,,,55.886128243401,28.7852747398629,,-44.1751664172149,,,38.0822348868094,,,,30.9146600866121,-83.2654293263016,,,104.98633413791,,,,,-46.7323307538699,,,,,358.478071144695,,,,52.0768254819443,,,,3.47589003918527,,,,-279.873169806902,-22.5511736546885,,20.8066914771824,,57.2086983790217,-24.289037489261,,,-23.2206200409255,-23.2359105628993,,,198.676095491433,,,,,9.35912378039109,-3.44029781018415,,,0.684763084720271,,24.1877135893088,,164.882426889403,-45.3673865008603,,,,,,,,,,,,,8.10181958767316,,,18.0414008087191,1.0543687449841,,,,,113.124669602011,,69.8469086644969,11.0828646138911,,-43.9437676317173,,,-19.010879947708
2005-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,8.2960500766925,123.053257315365,,-113.177528955286,-7204.5694631356,,,-613.248419804915,116.808136716735,-37.3151839710198,-500.400241701377,,-16.0008398523275,,10.9523881748042,-11.3742968295405,,8.38721727593196,,,163.334186530368,-32.761328610856,-29.4538321477027,27.7550949875515,17.2289953581517,52.091006210217,,27.1108081455606,,,-277.604228167519,-90.2302395625791,,,,43.3983582519266,,,2.01115116063168,,-29.4764298205234,39.1178437440043,2.32116918856022,,-82.6725293661496,,27.3058277781744,,8.06540377684589,21.2000176687011,,25.5473524792257,-198.29922074378,,,,-77.5203397077507,,63.9832868482826,,20.9384528799832,,,149.616052456543,0.290312137367877,,-262.855719309921,-1.50942520061818,124.892319751553,,,,,,,,,64.2454366903319,,-45.4788520675408,,,143.065390093557,-8.5808258580871,,35.535497731262,-71.6699889292762,,87.8148278649307,,,,-7.17152176121954,13.9274409305074,,-1.26973863937315,66.8027399184453,62.5333982743822,9.86587100356881,28.3584556184103,,39.1107401102536,,,,,,,,45.6762946996209,,,,27.3936238945635,,-25.3125082066369,4.01200508510928,,,40.6404131444948,,28.0455564872288,,,,,,,5.0675081539053,51.386289880734,-50.3831659295163,59.4995982042603,39.7563630516556,26.8436734077894,45.6010728499003,13.5625822897483,,,3.54001364305461,-83.2425068119891,47.3057813500606,-24.8350251607069,-359.264443855765,,27.0816041312193,,-8.62902940788969,24.3325002592936,,-39.7019470987076,,-95.5881402857078,,,-23.5913080539028,10.5224989583372,58.5228755046584,,,38.1287136168412,,,4.65042357211911,-68.3000587820109,-591.80716765776,-55.0131977469444,,35.7975627814362,-53.6524252359305,,,,217.939491113346,3.89251240962042,-25.4255784487816,4.44262258437858,24.7774002681338,,71.9682187819412,,6.65084378169188,,14.166738572291,644.596441452359,,-73.9646875111133,-35.2017320660105,,-3.03442301088609,,,-75.6714888559,-477.82700548556,2.6148419434455,-0.0493668791110254,,10.7851048128776,19.6561272131547,,-665.195567187423,52.621103551692,-139.884637407056,,0.195265255085288,,,49.4916714614851,37.8796503309374,,-28.9931303270174,,,36.5296234666402,,,,34.2280486636369,-72.986809907984,,,74.5839227387326,,,,,-41.1550902452379,,,,,282.632341416253,,,,30.3851971310383,,,,2.36945240183527,,,,-435.662302341636,-26.2928769312539,,69.114739687656,,51.8595948375011,-10.1234828189269,,,-9.47372872335158,-14.0841385399107,,,291.395638078547,,,,,10.3131947229736,13.2617129524523,,,7.89122380766378,,36.2791436070271,,123.398125790271,-35.9351929018948,,,,,,,,,,,,,14.5442974523241,,,12.0404407853923,8.66739225506628,,,,,113.506545824714,,38.265582973542,-19.0179034281941,,31.3195360833513,,,51.4798494798038
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
