,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,-37.9099,101.6068,,-87.9344,-395.2446,,,-31.8669,-558.294,-28.1158,-237.8425,,86.8936,,-3.8603,6.2837,,-52.786,,,79.2621,18.7326,-40.7246,57.8367,,-96.5352,,-46.0257,,,-392.3032,-74.7329,,,,84.8091,,,75.6732,,-7.0514,30.1186,0.666,,-15.8922,,25.7911,,-14.6045,0.2909,,10.3512,108.122,,,,-63.4048,,43.0645,,17.2963,,,35.4069,,,-160.4784,8.5015,231.0575,,,,,,,,,246.2527,,-65.2304,,,139.2326,-0.887,,148.926,-98.9322,,133.455,,,,221.6763,-1.3805,,68.1847,41.9421,-18.0637,17.8415,23.4503,,,,,,,,,,,,,,16.3448,,49.4434,23.2467,,,,,5.7363,,,,,,,-6.9007,72.4892,64.1748,-42.7834,4.811,13.8348,2.1012,5.7265,,,5.6141,-250.3046,-48.837,-35.2417,-285.3955,,10.0784,,-33.8795,35.2872,,-56.7694,,-72.6287,,,-52.2294,-16.8289,80.5095,,,21.3706,,,295.7983,-82.9391,-266.7806,-80.5578,,68.0119,-231.366,,,,79.9205,-6.1812,-3.7863,,-20.2326,,78.2765,,44.164,,-25.6273,-28.0933,,-19.4974,-38.397,,-78.6088,,,62.6713,-348.3641,,1.1354,,6.1639,34.5334,,-72.4521,18.0632,-513.2737,,-34.372,,,20.0369,147.1408,,-49.96,,,15.2111,,,,5.9403,-95.5244,,,78.3046,,,,,-27.6524,,,,,168.2377,,,,,,,,3.2059,,,,-116.39,-32.02,,6.472,,56.3109,-46.4588,,,12.3112,-26.8841,,,154.7666,,,,,-14.6836,-34.0099,,,-37.4207,,19.1191,,6.6143,-49.7654,,,,,,,,,,,,,10.4395,,,22.0277,-33.6668,,,,,,,0.0014,-1.2285,,-36.0727,,,34.1444
2005-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,-52.001,113.9714,,-86.3153,-1073.1196,,,-63.442,-421.1732,-34.5727,-311.0293,,937.0458,,-28.9648,-15.7541,,-29.1688,,,27.3919,-7.1562,-38.5768,0.501,,-82.2354,,20.2778,,,-266.9901,-48.7124,,,,51.8871,,,32.8036,,-15.469,24.5899,11.255,,-192.4611,,25.5222,,39.9343,4.5604,,10.1062,-299.1176,,-59.473,,-71.5194,,46.4324,,8.246,,,45.1062,,,-308.9937,20.5212,671.2855,,,,,,,,,94.0535,,-47.2764,,,233.0297,-5.1391,,74.4267,-89.5005,,190.2808,,,,20.2411,-3.8848,,-1.8108,46.2968,31.1436,2.3762,54.5279,,-7.8616,,,,,,,,-2.5573,,,,16.4163,,21.8127,-3.0198,,,-48.6128,,11.1814,,,,-44.8943,,,-8.9311,33.1273,-83.5908,120.0032,19.4266,0.3287,-19.5829,5.0763,,,4.6202,-377.9049,16.0264,-31.4913,-347.1491,,10.2982,,-23.1999,49.0864,,-43.5748,,-60.5185,,,-41.0374,-16.2533,44.3739,,,34.3251,,,25.8238,-177.4672,-582.3283,-67.4135,,-1.6252,-18.3395,,,,208.8656,-2.8264,-25.382,-41.6028,15.117,,38.4665,,13.217,,-9.2371,54.9582,,-91.6949,-40.8024,-198.0973,-90.0185,,,4.0535,-593.5553,-18.4954,-3.7892,-264.5723,6.2867,12.4502,,-84.9591,12.9199,-94.4535,,13.0043,,,29.3569,25.5519,,-39.5696,,,12.2027,,,,5.302,-86.8114,,,105.4075,,,,,-42.1824,,,,,480.1545,,,,-55.7247,,,,-17.6256,,,,-291.8969,-21.1804,,-2.0131,,58.0474,-38.6387,,,-28.9753,-32.0798,,,70.2493,,,,,-22.9217,-29.3808,,,10.2077,-130.3196,-3.6021,,57.5896,-69.5771,,,,,,,,,-95.3971,,,,-1.6941,,,26.4038,-5.4929,,,,,-28.6899,,34.3242,10.0355,,-45.9332,,,5.4079
2005-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,-21.5176,91.8173,,-150.9492,-5194.9989,,,-510.0848,42.1306,-37.643,-476.87,,23.9479,,-37.1074,-16.5608,,-21.9777,,,29.8059,-38.8905,-33.1606,23.6024,,-15.0525,,9.4471,,,-283.4411,-88.2134,,,,24.9989,,,17.3674,,-30.4651,14.7999,-2.2056,-3199.4572,-132.8298,,8.6759,,4.6145,4.6138,,23.8717,-374.1011,,,,-79.7194,,35.9025,,5.451,,,60.2328,,,-280.3939,-3.4532,73.4483,,,,,,,,,55.0787,,-45.9367,,,77.422,-9.9022,,25.7555,-62.836,,70.9967,,,,0.4119,-0.8279,,-13.5446,43.7889,43.9708,-2.2883,28.1275,,32.0439,,,,,,,,30.7841,,,,9.0145,,-9.4864,-6.8432,,,28.8912,,12.0679,,,,,,,-10.1598,7.5878,-75.7415,53.8019,27.6576,6.3839,-19.6117,0.5785,,,-3.3286,-98.2776,46.6238,-32.8048,-520.1547,,9.352,,-4.4185,19.1061,,-18.8127,,-96.1546,,,-35.1468,-15.578,32.6561,,,28.2836,,,11.6378,-68.6902,-741.5158,-55.4222,,-20.4628,18.6722,,,,234.6501,-2.5867,-30.5808,8.6555,15.8768,,45.1543,,-7.6901,,-4.8375,201.1254,,-92.0606,-25.8217,,-85.1205,,,-78.3414,-521.2187,-2.7213,-4.1258,,3.9354,6.5303,,-1948.7476,11.7376,-141.1594,,-0.8341,,,8.8303,38.4161,,-25.8299,,,11.6994,,,,7.2249,-76.0995,,,72.48,,,,,-36.8968,,,,,289.2335,,,,9.2017,,,,-17.6702,,,,-476.8585,-24.5695,,22.9722,,43.8942,-24.3418,,,-4.7163,-28.9232,,,135.5212,,,,,-22.5414,-3.6726,,,16.8493,,6.157,,51.8508,-64.7914,,,,,,,,,,,,,9.2889,,,16.5989,7.5149,,,,,52.892,,19.9324,-20.7164,,25.3868,,,46.3377
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
