,000001.SZ,000002.SZ,000060.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000540.SZ,000559.SZ,000568.SZ,000623.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000671.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000938.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001965.SZ,001979.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002044.SZ,002050.SZ,002065.SZ,002074.SZ,002081.SZ,002085.SZ,002142.SZ,002146.SZ,002153.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002294.SZ,002304.SZ,002310.SZ,002352.SZ,002385.SZ,002411.SZ,002415.SZ,002450.SZ,002456.SZ,002460.SZ,002466.SZ,002468.SZ,002470.SZ,002475.SZ,002493.SZ,002500.SZ,002508.SZ,002555.SZ,002558.SZ,002572.SZ,002594.SZ,002601.SZ,002602.SZ,002608.SZ,002624.SZ,002625.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002797.SZ,002925.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300033.SZ,300059.SZ,300070.SZ,300072.SZ,300122.SZ,300124.SZ,300136.SZ,300144.SZ,300251.SZ,300408.SZ,300433.SZ,600000.SH,600008.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600023.SH,600025.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600048.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600153.SH,600157.SH,600170.SH,600176.SH,600177.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600309.SH,600332.SH,600339.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600373.SH,600376.SH,600383.SH,600390.SH,600398.SH,600406.SH,600415.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600518.SH,600519.SH,600522.SH,600535.SH,600547.SH,600549.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600660.SH,600663.SH,600674.SH,600682.SH,600688.SH,600690.SH,600703.SH,600704.SH,600705.SH,600739.SH,600741.SH,600795.SH,600804.SH,600809.SH,600816.SH,600820.SH,600837.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,600909.SH,600919.SH,600926.SH,600958.SH,600959.SH,600977.SH,600999.SH,601006.SH,601009.SH,601012.SH,601018.SH,601021.SH,601088.SH,601099.SH,601108.SH,601111.SH,601117.SH,601155.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601212.SH,601216.SH,601225.SH,601228.SH,601229.SH,601238.SH,601288.SH,601318.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601555.SH,601600.SH,601601.SH,601607.SH,601611.SH,601618.SH,601628.SH,601633.SH,601668.SH,601669.SH,601688.SH,601718.SH,601727.SH,601766.SH,601788.SH,601800.SH,601808.SH,601818.SH,601828.SH,601838.SH,601857.SH,601866.SH,601877.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601933.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601991.SH,601992.SH,601997.SH,601998.SH,603160.SH,603260.SH,603288.SH,603799.SH,603833.SH,603858.SH,603993.SH
20050131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050331,97.5951,63.1962,71.7364,49.7403,39.9393,,58.9505,,,,66.2138,45.8702,51.1405,10.4334,68.0416,20.72,41.3829,74.1253,53.3727,36.6292,34.5931,48.8141,32.7455,51.6831,83.6402,47.3048,56.1812,61.0549,72.2933,,23.0957,45.7054,37.8279,51.3622,44.5532,35.1627,54.7267,23.3873,,40.0646,30.28,58.0863,53.2377,69.9911,65.3067,48.5509,,,17.479,28.0721,60.8802,39.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7757,,,,,,,,,,,,,,,,,,,,96.9331,39.8304,2.741,59.2775,51.2308,96.6755,97.1107,,34.3294,,,52.6341,79.6291,52.3931,56.7142,96.5183,34.0377,,49.7903,39.7174,46.3702,55.4047,23.3797,71.1611,61.8062,17.9463,56.29,36.5901,85.0267,58.5074,60.1623,61.787,61.6787,62.5901,61.6181,17.6505,46.8892,69.4597,42.6167,91.365,7.2417,26.2869,21.8429,46.7947,59.7125,51.0277,56.0834,18.5967,42.4018,54.5699,41.8644,62.9942,53.2612,63.4118,60.97,54.798,39.7874,37.2441,34.9189,78.3671,1.9295,51.0418,50.5679,41.2566,42.6271,32.5602,56.0408,39.5972,29.9947,51.1901,39.4041,41.9432,57.843,10.7013,31.8201,60.4472,11.5022,56.4944,49.3128,66.6592,33.2605,29.7626,53.2127,30.9918,10.9886,72.0045,64.8564,63.7608,58.6517,58.3739,68.6099,56.5934,22.8488,76.9513,76.1328,24.7731,25.9906,72.2549,47.1284,45.7776,47.6715,,,,87.6884,,,74.4766,,,,,,,,,,,,,,,,88.0188,,,,,,,,,,,,,,,,,,,70.828,,,,,,,55.2341,,,,66.2477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050630,97.676,63.4662,70.2537,48.3249,38.5205,70.6077,58.742,97.7246,,,70.6527,44.5715,51.5197,6.7022,71.2905,20.6229,47.5585,73.5766,58.7892,37.7435,32.4409,51.4812,31.7316,52.3883,82.0111,48.1452,62.5485,61.5662,80.9754,12.5582,24.2954,43.061,56.5073,60.9338,47.9535,35.1612,56.2757,24.5745,39.9271,41.2232,29.0617,57.9372,56.3507,69.335,66.2432,47.7149,,,13.7134,35.7338,69.7028,39.9778,27.9357,47.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8474,,,,,,,,,,,58.0811,,67.5158,,33.3752,,,,,,,,,,,,,,,,,,97.128,41.0874,3.3919,59.8062,54.8474,96.9658,97.3034,,50.8429,,,54.0058,81.1137,56.9615,57.6021,96.6843,36.3168,,49.2484,39.825,45.5548,55.5074,26.6414,71.8115,64.6774,20.3912,59.1772,39.1122,89.0575,55.8114,61.1662,67.1997,64.4716,69.6601,63.364,20.6832,47.8096,72.2433,45.7105,91.3402,10.2938,25.6183,15.8664,42.914,62.9151,49.0419,58.6515,21.2342,45.0348,52.7141,40.7704,66.4749,51.5804,63.3025,60.1038,55.4607,44.0201,37.721,38.744,78.4276,15.739,55.1986,54.1905,39.318,48.3908,34.3147,55.0683,38.7761,30.2735,50.4702,40.6993,52.465,65.76,17.9395,34.7804,63.1871,11.7315,52.5207,48.625,67.2306,34.2496,29.8156,49.7506,32.171,18.8439,72.3533,64.3724,64.8216,61.3881,58.9375,69.4029,63.6903,26.2392,77.2011,75.4857,21.9127,27.5616,71.7128,50.3666,42.0975,49.9268,85.5858,,,69.6177,,,72.0543,,,,,,,,,,,,,,,,88.7855,,,,,,39.7776,,,,,,,77.6426,,,59.9948,,,71.1939,,,,,,,58.4249,,,,65.9844,,,,,,,,,71.0502,,,,,,,,,,,,,,,,,,,,,,,
20050729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050930,97.7258,66.9369,68.995,45.2236,34.743,73.894,57.6817,,,,67.3647,46.0291,51.6894,11.3485,69.7017,18.029,48.0852,73.5069,57.6306,36.6042,31.179,52.8783,32.3109,51.2412,79.85,42.6886,63.9722,61.3522,82.7164,,26.3502,43.6435,69.8844,60.0714,44.6815,41.3118,55.6859,22.7382,37.7989,34.3231,26.9635,56.7139,54.3506,68.3314,68.5604,47.6335,,,14.8089,35.5839,73.9534,41.6046,25.7263,38.4853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6235,,63.125,,,,,,,,,,,,,,,,,,,,97.1485,41.9133,4.0952,50.3641,53.8536,96.9197,97.141,,47.4961,,,53.7186,80.5609,57.8485,56.1973,96.6513,43.1523,,48.0294,34.0881,52.0243,54.5165,22.8812,72.0148,67.0377,19.9235,56.5543,37.3986,88.3853,53.7681,62.4086,65.7323,65.9784,65.0996,64.0427,17.3846,47.9639,71.909,43.7123,91.5677,6.5657,28.7718,13.7862,44.4684,61.2906,48.4116,61.8514,19.587,45.2706,50.1707,33.9231,67.828,54.8229,63.3889,71.3754,53.7269,45.3373,38.1314,37.4122,80.2858,16.2462,49.8679,48.5065,38.2377,47.1967,36.1705,53.3017,35.2794,32.6655,51.4139,37.6449,52.4478,64.2817,16.8638,31.0354,63.5448,10.8578,55.3222,47.9275,66.4616,35.0773,29.2934,51.8874,29.889,10.992,73.0651,66.0276,62.5829,62.1473,59.8351,69.8089,62.2033,25.7753,76.9791,75.3839,22.2798,29.374,69.8907,54.655,38.3807,51.1523,,,,74.2765,,,73.3127,,,,,,,,,,,,,,,,88.0403,,,,,,,,,,,,,76.2953,,,,,,71.2981,,,,,,,62.7707,,,,59.4622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20051031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
