,000001.SZ,000002.SZ,000060.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000540.SZ,000559.SZ,000568.SZ,000623.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000671.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000938.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001965.SZ,001979.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002044.SZ,002050.SZ,002065.SZ,002074.SZ,002081.SZ,002085.SZ,002142.SZ,002146.SZ,002153.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002294.SZ,002304.SZ,002310.SZ,002352.SZ,002385.SZ,002411.SZ,002415.SZ,002450.SZ,002456.SZ,002460.SZ,002466.SZ,002468.SZ,002470.SZ,002475.SZ,002493.SZ,002500.SZ,002508.SZ,002555.SZ,002558.SZ,002572.SZ,002594.SZ,002601.SZ,002602.SZ,002608.SZ,002624.SZ,002625.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002797.SZ,002925.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300033.SZ,300059.SZ,300070.SZ,300072.SZ,300122.SZ,300124.SZ,300136.SZ,300144.SZ,300251.SZ,300408.SZ,300433.SZ,600000.SH,600008.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600023.SH,600025.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600048.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600153.SH,600157.SH,600170.SH,600176.SH,600177.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600309.SH,600332.SH,600339.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600373.SH,600376.SH,600383.SH,600390.SH,600398.SH,600406.SH,600415.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600518.SH,600519.SH,600522.SH,600535.SH,600547.SH,600549.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600660.SH,600663.SH,600674.SH,600682.SH,600688.SH,600690.SH,600703.SH,600704.SH,600705.SH,600739.SH,600741.SH,600795.SH,600804.SH,600809.SH,600816.SH,600820.SH,600837.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,600909.SH,600919.SH,600926.SH,600958.SH,600959.SH,600977.SH,600999.SH,601006.SH,601009.SH,601012.SH,601018.SH,601021.SH,601088.SH,601099.SH,601108.SH,601111.SH,601117.SH,601155.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601212.SH,601216.SH,601225.SH,601228.SH,601229.SH,601238.SH,601288.SH,601318.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601555.SH,601600.SH,601601.SH,601607.SH,601611.SH,601618.SH,601628.SH,601633.SH,601668.SH,601669.SH,601688.SH,601718.SH,601727.SH,601766.SH,601788.SH,601800.SH,601808.SH,601818.SH,601828.SH,601838.SH,601857.SH,601866.SH,601877.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601933.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601991.SH,601992.SH,601997.SH,601998.SH,603160.SH,603260.SH,603288.SH,603799.SH,603833.SH,603858.SH,603993.SH
20050131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050331,,0.1097,0.4949,0.4837,0.1699,,0.5432,,,,0.0227,0.352,0.9229,0.9888,0.4671,0.5406,0.9697,0.0475,0.8393,0.2367,0.65,1.1283,0.9627,1.2612,0.6447,0.1138,2.4359,0.8969,2.2225,,0.2696,0.4569,5.1529,1.0166,0.3236,29.941,0.4483,0.8434,,4.0098,2.4182,1.4422,4.0487,1.8406,2.0022,2.7594,,,0.6513,0.3487,3.5727,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8833,15.7674,3.2141,4.5384,,,,1.8062,,,2.1224,4.9955,,0.3038,,0.0384,,3.2414,0.4321,0.8197,0.605,0.3355,0.5925,0.6427,0.799,0.0314,0.4273,3.5024,0.3445,1.7387,0.8138,12.1037,1.5215,0.2296,2.3851,1.0248,0.2449,0.5051,5.8001,1.7613,0.8147,0.6232,1.1804,1.6497,1.9404,1.6792,0.5472,0.3555,0.8887,0.9415,0.5691,1.2136,0.5868,0.0771,0.11,0.7085,0.6244,0.3418,0.1717,0.1605,1.1584,0.6682,0.6695,3.3844,0.2972,0.2897,0.7077,0.118,0.3404,1.0052,9.2201,0.4974,1.5272,1.7106,3.2471,3.9106,0.1003,1.3929,0.4923,0.0249,1.6936,2.5362,2.1628,3.8376,0.9905,0.5274,0.2687,1.9929,21.4176,3.3928,1.1709,0.2391,,0.9814,0.9856,0.1763,4.2814,2.0495,1.8816,2.8132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050630,,0.2173,1.1601,1.9422,0.3488,3.0635,1.3889,,,,0.0286,0.7008,2.3378,1.6466,1.2637,0.7651,2.0521,0.0957,1.729,0.3705,0.8533,2.1738,1.9994,2.4004,2.176,0.1181,4.497,1.9541,3.6503,7.401,0.6341,1.3788,4.649,2.3122,0.6856,61.3201,0.8774,1.3692,3.8057,6.2405,4.7003,2.9272,7.956,3.2715,3.0688,4.9987,,,1.2571,0.8004,5.9888,4.8691,4.5817,2.5762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2134,33.2106,6.1878,7.7481,,,,1.7676,,,4.1181,10.4867,,0.6993,,0.3751,,6.9167,1.4656,1.9932,1.2558,0.7545,1.2627,1.4052,1.5278,0.1881,0.9522,5.5302,1.2365,3.7826,1.7828,26.7872,2.4872,0.4106,5.0943,2.0136,0.7035,1.3887,9.9248,2.6215,2.5873,1.6209,2.2747,2.8296,3.5556,5.0138,1.5043,0.6935,1.9213,1.7593,1.9002,2.4413,1.2418,0.122,0.2263,1.3734,1.1112,0.8818,0.452,0.7463,4.26,1.4591,1.6467,7.6931,0.6426,0.5259,1.4963,0.175,0.898,3.2922,16.2974,0.9598,3.3797,3.5416,3.8882,9.4314,0.2428,2.441,1.1368,0.1327,3.3619,4.9661,4.4949,9.5988,2.7303,1.156,0.5907,5.2634,43.6974,5.7692,2.3351,0.4399,,2.1256,2.5956,0.5073,8.1873,5.1318,3.3696,6.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4171,,,,,,,,,,,,,4.4926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050930,,0.2585,1.9396,2.7005,0.5402,4.5799,1.9292,,,,0.1991,0.8937,4.2259,2.637,1.6835,1.4896,2.969,0.1492,2.5889,0.5283,1.5393,2.7977,2.8623,3.7028,2.8411,0.5781,6.4142,2.7944,5.6777,,0.8306,1.8495,12.0556,4.3288,0.8678,104.5568,1.4116,1.7714,6.0259,11.4705,7.668,5.4499,12.1095,4.0918,5.7035,8.252,,,1.8192,1.5148,6.9504,7.3268,11.011,3.5807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.229,49.7044,9.3132,12.2669,,,,3.0877,,,6.891,16.4686,,1.0185,,0.7544,,11.169,2.9857,3.3042,1.9272,0.9417,1.8875,1.978,2.5621,0.3427,1.5034,10.0609,2.0502,5.5554,2.2654,41.4757,3.9104,0.5324,7.7427,3.0682,1.1968,2.3149,17.3916,5.4081,3.8889,2.4665,3.6996,4.6992,5.204,6.7894,2.3602,0.9481,2.9894,2.8257,3.0856,3.2179,1.9748,0.1545,0.2822,1.9474,1.7631,1.2887,0.6835,1.3774,12.2629,2.2544,2.3848,11.1954,0.9498,0.9515,2.2981,0.2667,1.3168,4.5368,20.5592,1.633,4.147,6.0207,6.0053,11.7536,0.2421,3.8442,1.9673,0.1561,5.2553,6.4435,7.274,13.8534,2.9876,1.6026,0.6614,7.2591,69.68,7.1006,5.4338,0.7189,,3.1469,3.4281,0.7856,11.5951,8.6089,5.5474,10.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20051031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
