,000001.SZ,000002.SZ,000060.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000540.SZ,000559.SZ,000568.SZ,000623.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000671.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000938.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001965.SZ,001979.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002044.SZ,002050.SZ,002065.SZ,002074.SZ,002081.SZ,002085.SZ,002142.SZ,002146.SZ,002153.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002294.SZ,002304.SZ,002310.SZ,002352.SZ,002385.SZ,002411.SZ,002415.SZ,002450.SZ,002456.SZ,002460.SZ,002466.SZ,002468.SZ,002470.SZ,002475.SZ,002493.SZ,002500.SZ,002508.SZ,002555.SZ,002558.SZ,002572.SZ,002594.SZ,002601.SZ,002602.SZ,002608.SZ,002624.SZ,002625.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002797.SZ,002925.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300033.SZ,300059.SZ,300070.SZ,300072.SZ,300122.SZ,300124.SZ,300136.SZ,300144.SZ,300251.SZ,300408.SZ,300433.SZ,600000.SH,600008.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600023.SH,600025.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600048.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600153.SH,600157.SH,600170.SH,600176.SH,600177.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600309.SH,600332.SH,600339.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600373.SH,600376.SH,600383.SH,600390.SH,600398.SH,600406.SH,600415.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600518.SH,600519.SH,600522.SH,600535.SH,600547.SH,600549.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600660.SH,600663.SH,600674.SH,600682.SH,600688.SH,600690.SH,600703.SH,600704.SH,600705.SH,600739.SH,600741.SH,600795.SH,600804.SH,600809.SH,600816.SH,600820.SH,600837.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,600909.SH,600919.SH,600926.SH,600958.SH,600959.SH,600977.SH,600999.SH,601006.SH,601009.SH,601012.SH,601018.SH,601021.SH,601088.SH,601099.SH,601108.SH,601111.SH,601117.SH,601155.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601212.SH,601216.SH,601225.SH,601228.SH,601229.SH,601238.SH,601288.SH,601318.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601555.SH,601600.SH,601601.SH,601607.SH,601611.SH,601618.SH,601628.SH,601633.SH,601668.SH,601669.SH,601688.SH,601718.SH,601727.SH,601766.SH,601788.SH,601800.SH,601808.SH,601818.SH,601828.SH,601838.SH,601857.SH,601866.SH,601877.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601933.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601991.SH,601992.SH,601997.SH,601998.SH,603160.SH,603260.SH,603288.SH,603799.SH,603833.SH,603858.SH,603993.SH
20050131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050331,-37.9099,101.6068,101.4401,-3.8603,-52.786,-237.8425,-40.7246,,,,-96.5352,-31.8669,64.1748,6.2837,-392.3032,-72.6287,30.1186,-80.8833,1.1508,0.2909,11.4725,-63.4048,168.2377,43.0645,17.2963,-19.4974,8.5015,-19.3852,-285.3955,-160.4784,246.2527,231.0575,-395.2446,35.4069,139.2326,148.926,1.1354,-1.3805,68.1847,10.3512,84.8091,75.6732,-0.887,-65.2304,23.4503,80.5095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7363,-17.6246,-6.9007,72.4892,-46.4588,4.811,13.8348,,2.1012,,,5.6141,-250.3046,-48.837,-35.2417,10.0784,-36.0727,,-33.8795,-558.294,35.2872,-14.6045,-16.8289,-52.2294,295.7983,-80.5578,-98.9322,-56.7694,-82.9391,-231.366,-3.7863,-1.2285,-20.2326,41.9421,78.2765,44.164,-25.6273,-28.0933,-6.1812,-78.6088,34.1444,16.3448,21.3706,221.6763,18.0632,79.9205,-28.1158,-513.2737,-7.0514,5.7265,20.0369,-15.8922,-72.4521,-12.9119,529.0223,79.2621,-348.3641,17.8415,34.5334,-18.0637,57.8367,133.455,,0.0014,154.7666,-38.397,49.4434,23.2467,15.2111,147.1408,6.1639,6.472,25.7911,62.6713,5.9403,-95.5244,0.666,68.0119,-74.7329,3.2059,-89.1988,-46.0257,10.9603,18.7326,-32.02,-116.39,22.0277,-266.7806,12.3112,-26.8841,-34.0099,-189.4467,56.3109,-42.7834,-19.7179,-14.6836,-37.4207,19.1191,10.4395,-49.7654,-33.6668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.6524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050630,-52.001,113.9714,65.4965,-28.9648,-29.1688,-311.0293,-38.5768,,,,-82.2354,-63.442,-83.5908,-15.7541,-266.9901,-60.5185,24.5899,-67.6291,6.4296,4.5604,-10.6048,-71.5194,480.1545,46.4324,8.246,-91.6949,20.5212,-33.8786,-347.1491,-308.9937,94.0535,671.2855,-1073.1196,45.1062,233.0297,74.4267,-3.7892,-3.8848,-1.8108,10.1062,51.8871,32.8036,-5.1391,-47.2764,54.5279,44.3739,,,-7.8616,-2.5573,-28.6899,-48.6128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1814,-6.0063,-8.9311,33.1273,-38.6387,19.4266,0.3287,,-19.5829,,,4.6202,-377.9049,16.0264,-31.4913,10.2982,-45.9332,,-23.1999,-421.1732,49.0864,39.9343,-16.2533,-41.0374,25.8238,-67.4135,-89.5005,-43.5748,-177.4672,-18.3395,-25.382,10.0355,15.117,46.2968,38.4665,13.217,-9.2371,54.9582,-2.8264,-90.0185,5.4079,16.4163,34.3251,20.2411,12.9199,208.8656,-34.5727,-94.4535,-15.469,5.0763,29.3569,-192.4611,-84.9591,-34.3023,60.1677,27.3919,-593.5553,2.3762,12.4502,31.1436,0.501,190.2808,-41.6028,34.3242,70.2493,-40.8024,21.8127,-3.0198,12.2027,25.5519,6.2867,-2.0131,25.5222,4.0535,5.302,-86.8114,11.255,-1.6252,-48.7124,-17.6256,-19.1379,20.2778,6.7275,-7.1562,-21.1804,-291.8969,26.4038,-582.3283,-28.9753,-32.0798,-29.3808,12.3721,58.0474,120.0032,-7.7407,-22.9217,10.2077,-3.6021,-1.6941,-69.5771,-5.4929,,,,-130.3196,,,-95.3971,,,,,,,,,,,,,,,,-198.0973,,,,,,,,,,,,,,,,,,,-42.1824,,,,,,,-264.5723,,,,-59.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050930,-21.5176,91.8173,64.1752,-37.1074,-21.9777,-476.87,-33.1606,,,,-15.0525,-510.0848,-75.7415,-16.5608,-283.4411,-96.1546,14.7999,-58.1308,-6.2685,4.6138,-5.6876,-79.7194,289.2335,35.9025,5.451,-92.0606,-3.4532,-39.0507,-520.1547,-280.3939,55.0787,73.4483,-5194.9989,60.2328,77.422,25.7555,-4.1258,-0.8279,-13.5446,23.8717,24.9989,17.3674,-9.9022,-45.9367,28.1275,32.6561,,,32.0439,30.7841,52.892,28.8912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3199.4572,,,,,,,,,,,,,,,,,,,,12.0679,-3.7157,-10.1598,7.5878,-24.3418,27.6576,6.3839,,-19.6117,,,-3.3286,-98.2776,46.6238,-32.8048,9.352,25.3868,,-4.4185,42.1306,19.1061,4.6145,-15.578,-35.1468,11.6378,-55.4222,-62.836,-18.8127,-68.6902,18.6722,-30.5808,-20.7164,15.8768,43.7889,45.1543,-7.6901,-4.8375,201.1254,-2.5867,-85.1205,46.3377,9.0145,28.2836,0.4119,11.7376,234.6501,-37.643,-141.1594,-30.4651,0.5785,8.8303,-132.8298,-1948.7476,-40.8879,57.2407,29.8059,-521.2187,-2.2883,6.5303,43.9708,23.6024,70.9967,8.6555,19.9324,135.5212,-25.8217,-9.4864,-6.8432,11.6994,38.4161,3.9354,22.9722,8.6759,-78.3414,7.2249,-76.0995,-2.2056,-20.4628,-88.2134,-17.6702,-9.8613,9.4471,12.6436,-38.8905,-24.5695,-476.8585,16.5989,-741.5158,-4.7163,-28.9232,-3.6726,-140.3402,43.8942,53.8019,3.9311,-22.5414,16.8493,6.157,9.2889,-64.7914,7.5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.8968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20051031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
